,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37472,C&D ZODIAC,3665,Double Front  Row Seat  Assembly,41202036-102,,,
37473,C&D ZODIAC,3668,Standart Bottom Cushion Assembly,41191142-561,,,
37474,C&D ZODIAC,3674,Standard Bottom Cushion Assembly,41191142-565,,,
37475,C&D ZODIAC,3675,Standard Bottom Cushion Assembly,41401025-527,,,
37476,C&D ZODIAC,3676,Double Standard Seat Assembly,41192038-101,,,
37477,C&D ZODIAC,3677,Double Standard Seat Assembly,41192038-102,,,
37478,C&D ZODIAC,3678,Double FWD Exit Seat Assembly,41192038-103,,,
37479,C&D ZODIAC,3679,Double FWD Exit Seat Assembly,41192038-104,,,
37480,C&D ZODIAC,3680,Double AFT Exit Seat Assembly,41192038-105,,,
37481,C&D ZODIAC,3681,Double AFT Exit Seat Assembly,41192038-106,,,
37482,C&D ZODIAC,3682,Double Last Row Seat Assembly,41192038-107,,,
37483,C&D ZODIAC,3683,Double Last Row Seat Assembly,41192038-108,,,
37484,C&D ZODIAC,3684,Double Front Row Seat Assembly,41202038-101,,,
37485,C&D ZODIAC,3685,Double Front Row Seat Assembly,41202038-102,,,
37486,C&D ZODIAC,3686,LH F/C Single Seat Assembly,41402016-101,,,
37487,C&D ZODIAC,3687,RH F/C Double Seat Assembly,41412016-101,,,
37488,C&D ZODIAC,3688,Double Standard Seat Assembly,41192039-101,,,
37489,C&D ZODIAC,3689,Double Standard Seat Assembly,41192039-102,,,
37490,C&D ZODIAC,3690,Double Last Row Seat Assembly,41192039-103,,,
37491,C&D ZODIAC,3691,Double Last Row Seat Assembly,41192039-104,,,
37492,C&D ZODIAC,3692,Double Front Row Seat Assembly,41202039-101,,,
37493,C&D ZODIAC,3693,Double Front Row Seat Assembly,41202039-102,,,
37494,C&D ZODIAC,3694,Standard Bottom Cushion Assembly,41191142-567,,,
37495,C&D ZODIAC,3695,FWD Attendant Seat (AFT Facing),41131001-197,,,
37496,C&D ZODIAC,3696,AFT Attendant Seat (AFT Facing),41131001-199,,,
37497,C&D ZODIAC,3698,AFT Attendant Seat (FWD Facing),41142001-149,,,
37498,C&D ZODIAC,3699,Standard Bottom Cushion Assembly,41191142-563,,,
37499,C&D ZODIAC,3700,Standard Bottom Cushion Assembly,41401025-525,,,
37500,C&D ZODIAC,3701,FWD Attendant Seat (AFT Facing),41131001-207,,,
37501,C&D ZODIAC,3702,AFT Attendant Seat (FWD Facing),41142001-155,,,
37502,C&D ZODIAC,3703,Double Standard Seat Assembly,41192037-101,,,
37503,C&D ZODIAC,3704,Double Standard Seat Assembly,41192037-102,,,
37504,C&D ZODIAC,3705,Double Front Row Seat Assembly,41202037-101,,,
37505,C&D ZODIAC,3706,Double Front Row Seat Assembly,41202037-102,,,
